,QUAL_VAR1,QUAL_VAR2,QUANT_VAR1,QUANT_VAR2,QUANT_VAR3
scene 1.2 1:14,1,1,1,0,2
scene 1.3 ,1,1,1,0,2
scene 1.4,0,1,1,1,3
scene 1.5,1,1,1,0,1
scene 2.2 17:36,1,0,1,0,1
scene 2.3 2:08,1,1,1,1,1
scene 2.4 2:41,0,1,1,1,1
scene 2.5 4:04,1,1,0,2,3
scene 3.4 2.11,1,0,1,0,3
scene 3.5 2:45,0,0,1,2,1
scene 3.7 30:56,1,0,1,0,2
scene 3.8 6:03,0,1,1,0,0
scene 4.3 14:44,1,1,1,0,3
scene 4.6 21:48,1,0,1,0,2
scene 4.8  28:49,1,1,0,0,2
scene 4.9 15:40,1,1,1,0,3
scene 5.5 24:10,0,1,0,1,1
scene 5.6 16:27,1,1,1,1,3
scene 5.7 5:35,1,1,1,1,1
scene 5.8 20:28,1,1,1,2,1
scene 5.9 ,1,1,1,0,1
scene 6.0,1,0,1,2,2
scene 6.1,0,1,1,0,2
scene 6.2,0,0,1,1,1
scene 6.3,1,1,1,0,3
scene 6.4,1,0,0,2,1
scene 6.5,1,0,0,1,2
scene 6.6,0,1,1,2,3
scene 6.7,0,1,1,0,2